Symbol,Date,Open,High,Low,Close,Volume
AXU,01-Jan-2014,1.26,1.26,1.26,1.26,0
AXU,02-Jan-2014,1.3,1.35,1.27,1.35,710300
AXU,03-Jan-2014,1.35,1.4,1.31,1.32,547200
AXU,06-Jan-2014,1.35,1.38,1.31,1.37,255600
AXU,07-Jan-2014,1.36,1.37,1.31,1.37,160400
AXU,08-Jan-2014,1.35,1.37,1.32,1.35,219000
AXU,09-Jan-2014,1.33,1.35,1.26,1.32,547700
AXU,10-Jan-2014,1.34,1.34,1.27,1.31,315900
AXU,13-Jan-2014,1.33,1.44,1.28,1.43,479000
AXU,14-Jan-2014,1.44,1.58,1.4,1.47,1040000
AXU,15-Jan-2014,1.43,1.55,1.41,1.54,409300
AXU,16-Jan-2014,1.57,1.63,1.56,1.61,516000
AXU,17-Jan-2014,1.62,1.72,1.62,1.69,411300
AXU,20-Jan-2014,1.69,1.69,1.69,1.69,0
AXU,21-Jan-2014,1.78,1.93,1.71,1.82,926500
AXU,22-Jan-2014,1.81,1.88,1.71,1.74,395400
AXU,23-Jan-2014,1.8,1.92,1.76,1.78,415500
AXU,24-Jan-2014,1.86,1.88,1.68,1.71,297300
AXU,27-Jan-2014,1.68,1.72,1.44,1.5,733600
AXU,28-Jan-2014,1.53,1.55,1.48,1.55,278800
AXU,29-Jan-2014,1.6,1.71,1.56,1.7,340800
AXU,30-Jan-2014,1.61,1.69,1.6,1.65,143300
AXU,31-Jan-2014,1.68,1.69,1.6,1.6,243200
AXU,03-Feb-2014,1.61,1.65,1.57,1.61,230200
AXU,04-Feb-2014,1.61,1.75,1.59,1.74,239700
AXU,05-Feb-2014,1.81,1.83,1.68,1.78,247100
AXU,06-Feb-2014,1.78,1.82,1.75,1.78,150900
AXU,07-Feb-2014,1.81,1.9,1.76,1.89,292700
AXU,10-Feb-2014,1.95,2.11,1.92,2.06,707200
AXU,11-Feb-2014,2.1,2.13,1.72,1.77,1115500
AXU,12-Feb-2014,1.76,1.9,1.75,1.78,496100
AXU,13-Feb-2014,1.77,1.98,1.76,1.97,410600
AXU,14-Feb-2014,2.01,2.18,2.01,2.1,631500
AXU,17-Feb-2014,2.1,2.1,2.1,2.1,0
AXU,18-Feb-2014,2.11,2.12,2.02,2.07,337000
AXU,19-Feb-2014,2.06,2.14,1.88,1.89,480900
AXU,20-Feb-2014,1.91,2.1,1.91,2.09,304600
AXU,21-Feb-2014,2.1,2.11,2.03,2.08,132200
AXU,24-Feb-2014,2.15,2.16,2.07,2.07,276600
AXU,25-Feb-2014,2.13,2.13,1.98,1.98,196300
AXU,26-Feb-2014,1.98,1.98,1.84,1.88,341200
AXU,27-Feb-2014,1.91,2,1.89,1.95,261500
AXU,28-Feb-2014,2.02,2.02,1.9,1.93,132600
AXU,03-Mar-2014,2.07,2.07,1.89,1.89,210100
AXU,04-Mar-2014,1.83,1.97,1.82,1.91,186200
AXU,05-Mar-2014,1.88,1.97,1.88,1.93,161700
AXU,06-Mar-2014,1.94,2.05,1.94,1.97,246900
AXU,07-Mar-2014,1.92,1.97,1.91,1.95,125300
AXU,10-Mar-2014,1.94,1.95,1.83,1.86,184600
AXU,11-Mar-2014,1.88,1.93,1.8,1.84,254000
AXU,12-Mar-2014,1.89,1.9,1.84,1.87,172200
AXU,13-Mar-2014,1.87,1.95,1.8,1.92,467300
AXU,14-Mar-2014,1.95,2.05,1.9,2.02,588600
AXU,17-Mar-2014,2.02,2.27,2.02,2.13,1167300
AXU,18-Mar-2014,2.04,2.22,1.94,2.2,601300
AXU,19-Mar-2014,2.12,2.16,2.04,2.07,522900
AXU,20-Mar-2014,2.02,2.22,1.95,2.05,716400
AXU,21-Mar-2014,2.1,2.15,1.81,2.15,4347500
AXU,24-Mar-2014,2.03,2.05,1.71,1.81,947400
AXU,25-Mar-2014,1.75,1.85,1.72,1.75,507900
AXU,26-Mar-2014,1.74,1.79,1.53,1.54,609800
AXU,27-Mar-2014,1.53,1.62,1.53,1.6,299700
AXU,28-Mar-2014,1.6,1.69,1.56,1.61,296200
AXU,31-Mar-2014,1.59,1.6,1.5,1.5,185200
AXU,01-Apr-2014,1.53,1.66,1.47,1.51,177800
AXU,02-Apr-2014,1.51,1.59,1.37,1.58,346400
AXU,03-Apr-2014,1.55,1.56,1.49,1.52,151100
AXU,04-Apr-2014,1.58,1.59,1.54,1.56,138800
AXU,07-Apr-2014,1.55,1.57,1.48,1.49,75500
AXU,08-Apr-2014,1.52,1.56,1.5,1.54,109300
AXU,09-Apr-2014,1.51,1.61,1.5,1.59,202400
AXU,10-Apr-2014,1.58,1.62,1.42,1.45,225400
AXU,11-Apr-2014,1.44,1.44,1.4,1.4,241900
AXU,14-Apr-2014,1.4,1.48,1.37,1.45,179200
AXU,15-Apr-2014,1.4,1.41,1.3,1.38,265900
AXU,16-Apr-2014,1.38,1.39,1.34,1.35,94400
AXU,17-Apr-2014,1.35,1.36,1.27,1.29,210400
AXU,18-Apr-2014,1.29,1.29,1.29,1.29,0
AXU,21-Apr-2014,1.27,1.29,1.2,1.24,316500
AXU,22-Apr-2014,1.27,1.31,1.23,1.31,293400
AXU,23-Apr-2014,1.3,1.4,1.29,1.36,222700
AXU,24-Apr-2014,1.35,1.4,1.25,1.27,303600
AXU,25-Apr-2014,1.3,1.33,1.24,1.31,283400
AXU,28-Apr-2014,1.31,1.32,1.21,1.23,334300
AXU,29-Apr-2014,1.24,1.3,1.24,1.29,288300
AXU,30-Apr-2014,1.28,1.32,1.24,1.29,141400
AXU,01-May-2014,1.28,1.32,1.28,1.32,80100
AXU,02-May-2014,1.32,1.4,1.27,1.35,213600
AXU,05-May-2014,1.38,1.39,1.31,1.37,124000
AXU,06-May-2014,1.38,1.43,1.32,1.4,119100
AXU,07-May-2014,1.41,1.41,1.32,1.32,129800
AXU,08-May-2014,1.33,1.37,1.32,1.34,75500
AXU,09-May-2014,1.34,1.34,1.28,1.33,159600
AXU,12-May-2014,1.34,1.34,1.3,1.32,89700
AXU,13-May-2014,1.32,1.34,1.26,1.26,107800
AXU,14-May-2014,1.29,1.31,1.27,1.29,128100
AXU,15-May-2014,1.3,1.35,1.26,1.28,158500
AXU,16-May-2014,1.26,1.33,1.25,1.33,135200
AXU,19-May-2014,1.34,1.35,1.33,1.33,109100
AXU,20-May-2014,1.31,1.31,1.28,1.3,83600
AXU,21-May-2014,1.27,1.38,1.26,1.36,202800
AXU,22-May-2014,1.36,1.38,1.3,1.31,129700
AXU,23-May-2014,1.31,1.33,1.25,1.27,173400
AXU,26-May-2014,1.27,1.27,1.27,1.27,0
AXU,27-May-2014,1.23,1.26,1.15,1.17,390600
AXU,28-May-2014,1.18,1.2,1.11,1.11,492700
AXU,29-May-2014,1.13,1.15,1.06,1.07,502900
